"> 时间","> 描述","> 类别标签","> 开始日期","> 结束日期","> 备注","> 标识码"
"0.616","leetcode题目","1C","2016-05-16 21:08:51","2016-05-16 21:45:50","","uB36XDQMSFWacXsIa1issQ"
"0.300","把一个问题解决","1C","2016-05-16 20:40:57","2016-05-16 20:58:57","","yDdF9O__TV2AV9VOhV806A"
"0.200","一道题，仍然想不通","1C","2016-05-16 20:25:49","2016-05-16 20:37:49","","9CD2vdk0SqCHBJflNX8YXQ"
"0.505","跟boss聊","4BK","2016-05-16 19:52:37","2016-05-16 20:22:54","","dmRdLoq-SF-27aLz1Crt9A"
"1.000","听讲座，感到没意思","4Pr","2016-05-16 18:30:07","2016-05-16 19:30:07","","SAjoed20R2GGeQn16mvdog"
"0.904","Xu程序，开始写LEM2","4BK","2016-05-16 16:34:57","2016-05-16 17:29:10","","1m9T-WnIRBWCR1naYmAnTg"
"0.627","Xu程序，开始写LEM2","4BK","2016-05-16 15:43:26","2016-05-16 16:21:04","","UTg9kfikRjKW0Yyzn9bTGA"
"1.102","Xu程序，不一致运行起来","4BK","2016-05-16 14:15:37","2016-05-16 15:21:44","","AaOyCm6BTUy-xUrPq7MCHw"
"0.667","看综艺节目，影响休息","4Pr","2016-05-16 12:50:20","2016-05-16 13:30:20","","bUjL6t_qRj6ZhrxvYJiIEg"
"1.167","Xu程序，问题解决","4BK","2016-05-16 10:20:20","2016-05-16 11:30:20","","9VwF3LubRP6awUKNvkXKdg"
"0.773","Xu程序，出现的问题依然没找到","4BK","2016-05-16 09:23:18","2016-05-16 10:09:40","","S6cZas4-T_awtmrCFagNiw"
"0.468","《人生2》","2R","2016-05-16 08:43:55","2016-05-16 09:11:58","","8HpBAS_PTeufS-Pgb5lm9g"
"1.000","Xu程序，出现问题，未解决","4BK","2016-05-15 21:40:16","2016-05-15 22:40:16","","CS7ZOoA9TIuBD_dRqiJTRQ"
"0.931","想一个问题，陷进去","1C","2016-05-15 20:24:17","2016-05-15 21:20:10","","p3LTysdmRpKxeqfW9bd-BQ"
"0.200","看一个OJ","1C","2016-05-15 20:00:41","2016-05-15 20:12:41","","M3LWqXtFQ_mZ4_yY7WwSGw"
"0.440","百度之星资格赛","1C","2016-05-15 19:30:34","2016-05-15 19:56:57","","zNVGqPR8QRWnleNN-QNRfA"
"0.817","Xu程序","4BK","2016-05-15 17:15:48","2016-05-15 18:04:48","","3YG4qweHQiyCWBlrGSdYSQ"
"1.167","看实习信息","1J","2016-05-15 16:00:52","2016-05-15 17:10:53","","LTkgLesNTFyIMy0fcRpLAw"
"0.494","写程序写的没状态了，","4BK","2016-05-15 15:20:03","2016-05-15 15:49:42","","6ZYtVsWvTeiUJ8kf2SfY0g"
"0.925","等价和容差统一问题","4BK","2016-05-15 14:09:52","2016-05-15 15:05:23","","6Gq9Eh50TVGLh0eHurkvYg"
"0.293","《十四堂人生课2》看不懂～","2R","2016-05-15 13:45:14","2016-05-15 14:02:48","","RMdkc57nQ4GcEp8yz8f9TA"
"0.783","Xu程序，想到了把一致和不一致统一起来","4BK","2016-05-15 11:11:56","2016-05-15 11:58:55","","7jLx8BtLR7WiTqueBuOmQg"
"0.759","Xu程序，跑不一致","4BK","2016-05-15 10:14:50","2016-05-15 11:00:24","","Lw9jgEbATlSWGCg4pszvjQ"
"0.711","周总结","2PM","2016-05-15 08:48:56","2016-05-15 09:31:34","","QCuXenOLS2CoPQTzYdlnBg"
"0.400","Xu程序写","4BK","2016-05-14 16:15:32","2016-05-14 16:39:32","","wpCtq7pZQSWoT6rwOSMy9Q"
"1.446","红黑树，删除过程，走神","1A","2016-05-14 14:03:18","2016-05-14 15:30:05","","suBAHsGTSHujnR7L9zSc2A"
"0.500","做计划","2PM","2016-05-14 09:00:19","2016-05-14 09:30:19","","VHl8DqJ0RwGGB1mvixxsIw"
"0.500","红黑树","1A","2016-05-13 22:00:19","2016-05-13 22:30:19","","5MBd6Ei6S4GrB3n3q9Qv4w"
"3.000","看相声","4E","2016-05-13 18:30:41","2016-05-13 21:30:41","","EAHFR46RTpu_TR2m3W_4tw"
"1.406","Xu程序时间复杂度分析","4BK","2016-05-13 15:23:10","2016-05-13 16:47:31","","Ra3xrV9BR1-bkLMGp9r0NQ"
"0.573","Xu程序复杂度分析，思路不清","4BK","2016-05-13 14:38:13","2016-05-13 15:12:35","","IHvHOQ_GTnqq14V5Xwswiw"
"0.417","瞎买书","4Pr","2016-05-13 13:50:37","2016-05-13 14:15:37","","i6bpRINQQBa0jY1UQmicNw"
"0.333","看动画片","4Pr","2016-05-13 13:00:37","2016-05-13 13:20:37","","ICWOf8D1QfO63hRHqGsSrQ"
"0.833","总结PCA算法","1A","2016-05-13 11:10:37","2016-05-13 12:00:37","","epV84pVNTdmZW4IQIOMFGA"
"1.031","总结PCA算法，刚写到重要的地方","1A","2016-05-13 09:58:23","2016-05-13 11:00:13","","fuYjRuhuTy6FjgaC3kuuPg"
"0.350","总结","2PM","2016-05-13 09:20:42","2016-05-13 09:41:42","","KcG4WrjwSgKbpTrS2HJ4Tw"
"0.333","计划","2PM","2016-05-13 09:00:42","2016-05-13 09:20:42","","xFdFEh3QSx6Une5VL4g5Cw"
"1.281","弄Xu论文，思路不清","4BK","2016-05-12 20:28:45","2016-05-12 21:45:37","","eoieXRM_SdKAuDN-azvBWw"
"0.300","看动画片","4Pr","2016-05-12 20:10:45","2016-05-12 20:28:45","","b79f4qlWQ5S7Ff0WqxSJ5Q"
"0.583","给二姐打电话","4Pr","2016-05-12 19:30:45","2016-05-12 20:05:45","","OJTBSRjlRtqTE4JAfQVi1Q"
"0.750","看电影","4Pr","2016-05-12 18:30:45","2016-05-12 19:15:45","","048ELPJ_RGKNy54o5cBjcw"
"3.000","网易面试","1J","2016-05-12 14:00:45","2016-05-12 17:00:45","","cjYoWlnnRCiu6QH35LpccQ"
"2.000","回忆R","1A","2016-05-12 09:40:45","2016-05-12 11:40:45","","jry5g2HjRiOPX5xiSFawww"
"0.616","看项目","4Pr","2016-05-12 08:52:20","2016-05-12 09:29:16","","KQcQdlA5QTy5HaI7otsD1g"
"0.517","买书和瞎看","4Pr","2016-05-12 08:20:34","2016-05-12 08:51:34","","PHWCwIqWSbqWTRnZ45r6xw"
"0.483","Sql和boost","3OL","2016-05-11 21:50:19","2016-05-11 22:19:19","","8TlKf32XTNyCIEtUdVd-hg"
"0.577","Sql","3OL","2016-05-11 21:01:22","2016-05-11 21:36:00","","g24GUtZMQQmdEzYpR60LKw"
"1.309","Sql","3OL","2016-05-11 19:25:37","2016-05-11 20:44:08","","rSNFI6DWS0uhzdl9zC6dJA"
"0.985","Sql","3OL","2016-05-11 16:16:39","2016-05-11 17:15:44","","75bIo3jIR9yuPUwdPoZykw"
"0.420","一个电话","1J","2016-05-11 15:30:10","2016-05-11 15:55:21","","xo5HQo_YQAuJqtvoFmmRrA"
"1.681","在不重要的东西上花太多时间，思路不清","1A","2016-05-11 13:38:01","2016-05-11 15:18:51","","VUc13HPnS2SKr1W5rzySLA"
"0.500","看电视剧","4Pr","2016-05-11 12:50:05","2016-05-11 13:20:05","","t67N7UwPS4O8ga2euZmgsw"
"0.400","心里乱想，状态差","4Pr","2016-05-11 10:51:44","2016-05-11 11:15:43","","QMjfH-OFSxeGkERYVrDOgg"
"0.517","心里差，乱想明天去网易面试的事","4Pr","2016-05-11 10:20:44","2016-05-11 10:51:44","","PohnspR5RDGhDyg2whlvIg"
"0.250","面试电话","4Pr","2016-05-11 09:55:44","2016-05-11 10:10:44","","zywU1CG-TSW_P6zpEN62IQ"
"0.333","买书，没买到","4Pr","2016-05-11 09:30:44","2016-05-11 09:50:44","","kbwi8vgpTWqRqbnvp6jvJw"
"0.433","计划和总结，应该晚上做这件事的","2PM","2016-05-11 09:00:08","2016-05-11 09:26:08","","jDETphAARqavAd7bSpYazA"
"0.330","Bost算法解决","1A","2016-05-10 22:30:11","2016-05-10 22:49:59","","0WnL5yIPS4qf5uc7tL0Qrg"
"0.333","状态差，简单运动","2S","2016-05-10 21:50:24","2016-05-10 22:10:24","","AsiB57YkRratg2gDPbaT9w"
"0.568","一道微软机试题，没想出来","1C","2016-05-10 21:12:11","2016-05-10 21:46:16","","vWfuTEVdQPyF8tNMS_K7rg"
"0.538","一道微软机试题","1C","2016-05-10 20:24:52","2016-05-10 20:57:09","","ZePg4JcRT76sFabpk0wTSw"
"0.917","投简历，瞎犹豫了好久","1J","2016-05-10 19:15:24","2016-05-10 20:10:24","","so9StHNfRVGZ_CH8fOGdCg"
"0.333","日历上瞎弄","4Pr","2016-05-10 18:50:24","2016-05-10 19:10:24","","998M67aoQQ274zdmUzNmUg"
"0.500","瞎想一个问题","4Pr","2016-05-10 16:30:29","2016-05-10 17:00:29","","-drk9QL0Rba-oYegfon6iQ"
"1.129","Adaboost看了半天没弄清","1A","2016-05-10 15:12:32","2016-05-10 16:20:18","","tppnYlLGQWKkyz5jb5e4Eg"
"0.743","PCA原理，弄清，但还没总结","1A","2016-05-10 13:59:17","2016-05-10 14:43:51","","2-6FiZlES9GBp_N9jCaUug"
"0.583","看综艺节目，影响休息","4Pr","2016-05-10 12:50:51","2016-05-10 13:25:51","","giwVNHZaSxSjVccV-guiqw"
"0.583","PCA原理","1A","2016-05-10 11:25:32","2016-05-10 12:00:32","","jpG_cb_KSbafpVQYAwn8KA"
"1.015","PCA原理，仍然没弄清","1A","2016-05-10 10:10:39","2016-05-10 11:11:32","","T7V4elTnQdC0ikNYN0y-iA"
"1.000","《十四堂人生课2》","2R","2016-05-10 09:00:42","2016-05-10 10:00:42","","e_3ZxTGkTR29TMXX7Wc67Q"
"0.333","计划","2PM","2016-05-10 08:40:42","2016-05-10 09:00:42","","9K8EoQ40Qi2qmxnvU8I6Kw"
"0.743","状态差和畏难，PCA没搞定","1A","2016-05-09 21:03:03","2016-05-09 21:47:37","","3FGgLxj5Qly12NXvMaGmmw"
"0.482","不想学习，看电视剧","4Pr","2016-05-09 20:29:46","2016-05-09 20:58:41","","D0TFMfVnQM2iMteP4Fd2Rw"
"0.217","休息一会后想到解决方法","1P","2016-05-09 20:00:54","2016-05-09 20:13:54","","ob4MefcaSN-4kngGoonPNQ"
"1.393","CashBus在一个小点上陷入","1P","2016-05-09 18:33:08","2016-05-09 19:56:41","","VWx-uNW0T8K-tr-zUyH40A"
"0.500","查论文","4BR","2016-05-09 16:30:33","2016-05-09 17:00:33","","odPe5fhLSnKJkHrJqCldLg"
"1.216","Xu论文写","4BK","2016-05-09 15:07:15","2016-05-09 16:20:14","","LL6HhOLtTSG3nUhSIynzEg"
"0.717","Xu论文写","4BK","2016-05-09 14:15:29","2016-05-09 14:58:29","","R3mrF7lyTniNxk9B6RPzaQ"
"0.741","Xu论文写","4BK","2016-05-09 13:20:41","2016-05-09 14:05:09","","f_Ltp5CPSOm1_eeSFekxHw"
"0.302","Xu论文写","4BK","2016-05-09 11:29:02","2016-05-09 11:47:10","","eAfrmfIRROirVLAIiEEwkg"
"0.717","Xu论文写","4BK","2016-05-09 10:35:10","2016-05-09 11:18:10","","5hSYKKK5QlqXlQAGuJ0Qhw"
"1.012","Xu论文开始写","4BK","2016-05-09 09:19:34","2016-05-09 10:20:17","","CPEsv7YCTQGKZ5A022D2lQ"
"0.504","微信文章","2R","2016-05-09 08:31:09","2016-05-09 09:01:23","","0XKtTcvjQIqBesc8-iKqUg"
"0.791","模型融合","1P","2016-05-08 21:24:53","2016-05-08 22:12:19","","ONaKWQkcThyLdjk4Lma3qw"
"1.096","想Xu论文问题","4BK","2016-05-08 20:09:11","2016-05-08 21:14:58","","Ri1MYsHKR7uVIV1eLR1HPA"
"0.961","填写IBM简历","1J","2016-05-08 18:58:11","2016-05-08 19:55:49","","bl5D6_iDRriXIQldxVs_GQ"
"0.250","晚饭后，瞎看","4Pr","2016-05-08 18:20:15","2016-05-08 18:35:15","","dmSod9LPScKwAs14Jjpyxg"
"1.000","乱看招聘信息","1J","2016-05-08 16:20:15","2016-05-08 17:20:15","","SQw10nAlQ3-0ruwyEK_YKQ"
"0.733","Xu论文，没思路","4BK","2016-05-08 15:30:10","2016-05-08 16:14:10","","sNd35MkySTGPvKHF9ewz3w"
"0.678","Xu论文，想该怎么写","4BK","2016-05-08 14:39:29","2016-05-08 15:20:09","","O7KPxGRJSKWxUcx_bp7jCQ"
"0.638","Xu论文，画图","4BK","2016-05-08 13:45:29","2016-05-08 14:23:45","","OwhyIKx6RymOzOjw2Sa3GQ"
"1.667","模型融合，没有思路","1P","2016-05-08 09:40:08","2016-05-08 11:20:08","","8Dd4PvXoRYaWzfki83YSPQ"
"0.643","跟家里人聊","4Pr","2016-05-08 08:30:11","2016-05-08 09:08:44","","ZwLPi53qRvmFrt2fA24IBg"
"1.000","周记，计划","2PM","2016-05-07 21:40:26","2016-05-07 22:40:26","","tQLdh1qmT9WihZLht08xRg"
"1.083","瞎想一个理论问题","1A","2016-05-07 19:25:26","2016-05-07 20:30:26","","iNJVcQAqSemMrM6f5dve8g"
"1.000","Xu程序时间","4BK","2016-05-07 16:30:26","2016-05-07 17:30:26","","xAdcaIojQY-AaYdnQV1p3Q"
"0.600","看视频","4E","2016-05-07 15:30:26","2016-05-07 16:06:26","","_LSqf-RKRT6lRF3GxFS3gw"
"1.352","整理文件和笔记","2PM","2016-05-07 14:04:17","2016-05-07 15:25:25","","b17_lC0mSSKwr5dbMLr07Q"
"1.333","周记相关","2PM","2016-05-07 10:40:04","2016-05-07 12:00:04","","B5yBpXMbQDWq_VhNK4srkg"
"2.000","看电视剧","4E","2016-05-07 08:30:21","2016-05-07 10:30:21","","f2EBA4ImSQacg5zsC2r2QA"
"0.593","Xu程序，速度加快","4BK","2016-05-06 21:27:41","2016-05-06 22:03:15","","M5v9HiV1TcyIuTedERcNCA"
"1.250","Xu程序,想着加速","4BK","2016-05-06 20:00:06","2016-05-06 21:15:06","","huMbybasQR-ap-88QIaM2g"
"1.031","Xu程序,加速","4BK","2016-05-06 18:47:35","2016-05-06 19:49:26","","MW2y5FzdSsGWqpcGrB9GIQ"
"0.324","看实习相关信息","1J","2016-05-06 16:49:03","2016-05-06 17:08:31","","BpQoxP1yTQG1qYPlHanenQ"
"0.750","CashBus模型融合，仍然没写好～，状态差","1P","2016-05-06 15:45:09","2016-05-06 16:30:09","","TCEU2mPMTqieidmaJ9woHA"
"1.368","CashBus模型融合","1P","2016-05-06 14:06:35","2016-05-06 15:28:38","","Tfr2a6a5SVKnsIN-B1lm9g"
"1.050","CashBus模型融合","1P","2016-05-06 10:50:56","2016-05-06 11:53:56","","4r6wuDEnRYymFWp9nwYZJA"
"0.983","CashBus模型融合，还没写好","1P","2016-05-06 09:35:26","2016-05-06 10:34:26","","Yuhvo0xCR7m1mtIWt8Awjg"
"0.356","《人生创意课2》","2R","2016-05-06 09:07:12","2016-05-06 09:28:35","","eJ6hmlqcR5GRi19C9WVPVg"
"0.417","瞎看招聘信息","1J","2016-05-06 08:30:02","2016-05-06 08:55:02","","95RxHIwhRN-5J40navijvg"
"0.768","CashBus瞎想，而没有快速行动","1P","2016-05-05 20:39:59","2016-05-05 21:26:02","","mGpfSbzGQ36_Nnt8xLgkKw"
"0.903","瞎看熵","1A","2016-05-05 19:08:19","2016-05-05 20:02:29","","Ra_KXh_gTjGqgN7BYKWDfA"
"0.559","想一个概率题","3OL","2016-05-05 16:18:08","2016-05-05 16:51:42","","gOGtAD9gQUaxqyCrNL920g"
"0.939","Xu程序","4BK","2016-05-05 15:03:56","2016-05-05 16:00:16","","nB7WJAdLQxW3LUp6q2CrWw"
"1.167","看电视剧","4Pr","2016-05-05 13:20:02","2016-05-05 14:30:02","","_li5kO_dRCy6i_TFSYDl0A"
"3.500","华为，实习生座谈会","1J","2016-05-05 08:00:33","2016-05-05 11:30:33","","fVFdq7nHQVWWEROvuekQVQ"
"1.290","画图","4BK","2016-05-04 21:03:04","2016-05-04 22:20:27","","LLsI-4aURRKpDDXNRq_lUw"
"0.400","程序添加新的内容","4BK","2016-05-04 20:26:12","2016-05-04 20:50:11","","_KKvt1_uSdq-W0aIskzLHg"
"0.500","查工作相关内容","1J","2016-05-04 19:50:30","2016-05-04 20:20:30","","KRsGEZY8QCChsQNqJ8AqJQ"
"0.978","拆书战队","2R","2016-05-04 18:41:29","2016-05-04 19:40:10","","AIjkBgVSQumdQ4njFCYoyg"
"0.183","EM算法","1A","2016-05-04 17:05:48","2016-05-04 17:16:48","","K6oox_mdRUSxClW3O_gylw"
"1.000","EM算法","1A","2016-05-04 15:58:19","2016-05-04 16:58:19","","OUeXH8nVQQCpjfI6hnA7KQ"
"0.774","机器学习相关知识","1A","2016-05-04 14:54:43","2016-05-04 15:41:08","","FWeN3FnWTR-2RMKN3_wzsg"
"0.679","粗糙集相关部分准备完","1A","2016-05-04 13:56:36","2016-05-04 14:37:22","","zKiirSDESlG-DbKdAbagAQ"
"0.500","看电视剧","4Pr","2016-05-04 12:50:08","2016-05-04 13:20:08","","CmFQRUPyRIG2KH8EBLyH6Q"
"0.584","想着怎么介绍粗糙集","1A","2016-05-04 10:52:20","2016-05-04 11:27:21","","Sx78a74aT6Ose2PgPqq9ZA"
"0.933","百度笔试总结","1J","2016-05-04 09:38:17","2016-05-04 10:34:16","","cnGp6IgUTKOouuPrsyCtfQ"
"0.502","《人生的14堂创意课2》","2R","2016-05-04 08:54:57","2016-05-04 09:25:04","","yYbk88RySNCtyJXlXCs6pw"
"0.333","日记","2PM","2016-05-04 08:30:41","2016-05-04 08:50:41","","yO9dOvy8R92RAJAWM-mG-w"
"1.294","一道简单的的leetcode题","1C","2016-05-03 21:29:13","2016-05-03 22:46:52","","38WHg0eYSBqRUVauSY4bcA"
"1.760","Xu程序，又运行起来","4BK","2016-05-03 19:25:39","2016-05-03 21:11:15","","jWtlThrPT4iPAgG6Vv8pBQ"
"0.688","Xu程序，思路混乱","4BK","2016-05-03 16:30:02","2016-05-03 17:11:19","","QG5MArBQQmG1oPtbi8K25g"
"0.750","写Xu程序一直在犹豫，没写出来","4BK","2016-05-03 15:34:18","2016-05-03 16:19:19","","RieUZF3zQuSWQnbf6b5tsw"
"0.902","Xu论文开始写","4BK","2016-05-03 14:27:57","2016-05-03 15:22:04","","Sxq7Ww--RsKrPeDxBYnPOQ"
"0.633","微软面试总结-瞎想","1J","2016-05-03 13:44:06","2016-05-03 14:22:03","","YQXi9fCuT_C-o5adZqxrLg"
"0.591","面试中遇到的问题总结","1C","2016-05-03 11:02:39","2016-05-03 11:38:06","","4u-IM7KUTJOQiXa5eNciHg"
"0.500","面试中遇到的问题总结","1C","2016-05-03 10:22:12","2016-05-03 10:52:13","","S4zo9gr0SfWFj4hLuo6Z4A"
"0.998","微软面试总结","1J","2016-05-03 09:10:56","2016-05-03 10:10:47","","6dytsLFnTbaWBiTwHPJT-g"
"0.531","《十四堂人生创意课2》","2R","2016-05-03 08:28:16","2016-05-03 09:00:07","","kWHhGOKEQdSExzv9uo7tOQ"
"0.500","外部排序，程序调好","1C","2016-05-02 22:30:40","2016-05-02 23:00:40","","Wwo2WMsgSjCREYh6VzVkcw"
"3.500","看电视剧","4Pr","2016-05-02 18:30:40","2016-05-02 22:00:40","","RTYUNyFgS4a5NxG_EV2_RQ"
"1.348","写外部排序","1C","2016-05-02 16:22:15","2016-05-02 17:43:07","","IL93hrqVSfakM2ElAg8Y_w"
"0.683","外部排序，感到很麻烦","1C","2016-05-02 15:30:18","2016-05-02 16:11:18","","4MmkZFCiQfuZYL_eDVtycw"
"0.723","看懂败者树","1C","2016-05-02 14:31:28","2016-05-02 15:14:52","","UUiqIIYWTk-nQmAYhFM-bA"
"0.609","依然想败者树问题","1C","2016-05-02 11:29:03","2016-05-02 12:05:36","","o9TN_OdTSw2O9QGOqyG-tQ"
"2.633","看电视剧","4Pr","2016-05-02 08:50:02","2016-05-02 11:28:02","","U3k15bh5Su2AYwBij-NIsQ"
"2.000","整理","2PM","2016-05-01 20:00:02","2016-05-01 22:00:02","","ptDCKxONSFyDuqSPNuvJpA"
"0.333","操场跑步","2S","2016-05-01 19:30:02","2016-05-01 19:50:02","","4kEuDP3uRiqsaLWG7JD-Aw"
"2.500","看电视剧","4Pr","2016-05-01 15:30:02","2016-05-01 18:00:02","","z3EwPzXWSCKLHmNnsgynhg"
"1.250","买生活用品","4O","2016-05-01 14:00:02","2016-05-01 15:15:02","","P5DiXSuhSKCg4CSP_TDE3A"
"3.000","看电视剧","4E","2016-05-01 08:00:02","2016-05-01 11:00:02","","JqbKLI76TUGr6-zoVIG3RQ"
"3.000","听成长会课程","3OL","2016-04-30 20:00:12","2016-04-30 23:00:12","","Yg5lqS1LSUKWEGDL8JGGRg"
"3.500","看电视剧","4E","2016-04-30 13:30:57","2016-04-30 17:00:57","","5YLM3lKKRjG4cq9jc1OLIQ"
"0.500","Xu程序发现问题","4BK","2016-04-30 11:20:57","2016-04-30 11:50:57","","E735XWEFTX2Cfgm-UmM-Ag"
"2.667","听成长会课程","3OL","2016-04-30 08:20:39","2016-04-30 11:00:39","","h81FLf19Qm6BD95TohhjRA"
"1.500","陷在Xu程序上","4BK","2016-04-29 21:00:45","2016-04-29 22:30:45","","1DmTQPu8Rw6VPji24j3WVg"
"0.417","待在同学周围乱看视频","4Pr","2016-04-29 20:15:27","2016-04-29 20:40:27","","PP4OvJpVSmeqkgBTC6BNnQ"
"0.857","Xu程序用小样本跟踪，没发现问题","4BK","2016-04-29 19:21:30","2016-04-29 20:12:54","","jnG-9TXUSpi6DXs16GcjQg"
"0.317","待在同学周围乱看视频","4Pr","2016-04-29 19:00:38","2016-04-29 19:19:38","","jBq6DHS2S8Co33bi_-hgxQ"
